Order_ID,Order_Date,Region,City,Category,Product,Quantity,Unit_Price,Discount_%,Final_Unit_Price,Total_Sales,Profit,Payment_Method,Customer_Age,Customer_Gender
1,2024-10-07,South,Kolkata,Home & Kitchen,Cookware Set,1,4560.66,0,4560.66,4560.66,2130.56,Card,41,Female
2,2024-01-31,West,Pune,Electronics,Smartwatch,4,1169.44,5,1110.97,4443.88,1158.08,UPI,54,Female
3,2024-07-19,West,Hyderabad,Beauty,Body Lotion,3,2983.92,10,2685.53,8056.59,1844.01,Cash,51,Other
4,2023-03-27,West,Kolkata,Sports,Yoga Mat,1,3742.43,15,3181.07,3181.07,1369.45,Card,37,Other
5,2024-05-13,East,Hyderabad,Clothing,Jacket,5,3283.27,20,2626.62,13133.1,3293.9,Card,27,Male
6,2023-04-17,West,Chennai,Grocery,Rice Bag,3,964.99,5,916.74,2750.22,1344.81,UPI,20,Male
7,2024-09-07,South,Bangalore,Beauty,Perfume,5,383.43,0,383.43,1917.15,660.5,Card,37,Male
8,2023-12-12,South,Chennai,Electronics,Smartphone,2,2672.65,10,2405.39,4810.78,1833.52,Cash,35,Other
9,2024-08-28,North,Kolkata,Grocery,Cooking Oil,1,854.09,10,768.68,768.68,332.58,Wallet,42,Other
10,2023-07-11,West,Hyderabad,Beauty,Makeup Kit,1,4485.12,20,3588.1,3588.1,1695.57,Card,58,Other
11,2023-11-08,North,Bangalore,Grocery,Spices,3,1437.5,20,1150.0,3450.0,805.14,Card,42,Male
12,2023-09-03,North,Kolkata,Sports,Dumbbells,2,4324.43,0,4324.43,8648.86,3470.66,Wallet,42,Other
13,2023-01-17,South,Hyderabad,Clothing,Jacket,5,3702.54,5,3517.41,17587.05,6638.5,Cash,32,Female
14,2024-11-11,South,Mumbai,Grocery,Cooking Oil,3,3644.76,5,3462.52,10387.56,3534.06,Cash,54,Male
15,2023-01-05,South,Pune,Electronics,Smartphone,4,636.4,15,540.94,2163.76,1032.48,Wallet,34,Male
16,2024-09-04,North,Kolkata,Home & Kitchen,Bedsheet,2,2526.22,20,2020.98,4041.96,921.76,Wallet,20,Male
17,2024-02-06,East,Delhi,Clothing,Jeans,2,2764.52,20,2211.62,4423.24,1857.28,Card,23,Male
18,2023-07-21,West,Mumbai,Sports,Cricket Bat,3,4353.99,15,3700.89,11102.67,2718.21,Cash,58,Male
19,2023-03-10,West,Pune,Beauty,Body Lotion,5,4201.37,0,4201.37,21006.85,4641.95,Card,53,Female
20,2023-07-20,East,Chennai,Beauty,Makeup Kit,3,3788.31,20,3030.65,9091.95,2143.32,Wallet,48,Female
21,2023-03-17,South,Chennai,Clothing,T-Shirt,2,731.46,10,658.31,1316.62,568.0,Wallet,56,Male
22,2024-01-28,East,Chennai,Beauty,Body Lotion,2,4108.04,20,3286.43,6572.86,2285.78,Cash,56,Other
23,2024-12-04,East,Kolkata,Home & Kitchen,Lamp,2,1506.49,10,1355.84,2711.68,557.64,Cash,34,Male
24,2023-02-08,North,Hyderabad,Beauty,Perfume,2,3206.63,20,2565.3,5130.6,1364.98,Wallet,23,Female
25,2024-08-26,South,Bangalore,Grocery,Spices,3,3829.04,5,3637.59,10912.77,4041.3,Wallet,51,Female
26,2024-06-30,West,Delhi,Electronics,Smartwatch,4,3199.85,20,2559.88,10239.52,4804.88,Cash,21,Male
27,2023-10-27,East,Pune,Home & Kitchen,Lamp,4,3470.64,5,3297.11,13188.44,2846.2,Card,34,Female
28,2024-05-27,East,Hyderabad,Clothing,T-Shirt,4,430.02,5,408.52,1634.08,584.88,Wallet,39,Male
29,2024-05-27,South,Hyderabad,Sports,Dumbbells,2,466.0,5,442.7,885.4,211.2,UPI,46,Female
30,2024-10-18,North,Bangalore,Beauty,Perfume,4,3773.29,10,3395.96,13583.84,4369.68,UPI,29,Female
31,2023-01-04,South,Pune,Beauty,Perfume,5,208.41,10,187.57,937.85,397.9,UPI,40,Female
32,2024-01-21,North,Kolkata,Electronics,Laptop,2,878.8,5,834.86,1669.72,335.38,Wallet,34,Male
33,2023-04-23,West,Chennai,Sports,Dumbbells,3,2311.8,20,1849.44,5548.32,1619.52,Wallet,49,Male
34,2024-01-06,East,Bangalore,Home & Kitchen,Bedsheet,2,3886.83,15,3303.81,6607.62,2006.38,Cash,44,Other
35,2024-12-27,North,Kolkata,Sports,Football,3,4759.23,15,4045.35,12136.05,5954.07,UPI,46,Female
36,2024-11-19,North,Kolkata,Beauty,Makeup Kit,5,4556.67,20,3645.34,18226.7,5621.9,Cash,23,Other
37,2023-05-26,West,Bangalore,Sports,Dumbbells,3,1443.65,10,1299.29,3897.87,1584.15,Cash,55,Male
38,2024-08-12,East,Chennai,Clothing,Kurta,2,1144.21,0,1144.21,2288.42,696.82,Card,29,Other
39,2024-10-09,West,Bangalore,Electronics,Smartwatch,2,4335.36,10,3901.82,7803.64,1635.2,Cash,42,Male
40,2023-01-16,West,Pune,Electronics,Speaker,1,546.71,10,492.04,492.04,121.32,Cash,24,Male
41,2024-05-17,South,Bangalore,Beauty,Perfume,3,4004.31,15,3403.66,10210.98,5005.86,Cash,20,Female
42,2023-05-27,West,Mumbai,Sports,Shoes,4,4003.03,0,4003.03,16012.12,8000.16,UPI,24,Male
43,2024-08-04,West,Mumbai,Grocery,Spices,1,3075.8,15,2614.43,2614.43,969.71,Cash,55,Female
44,2024-04-15,East,Hyderabad,Electronics,Smartphone,1,888.04,20,710.43,710.43,297.88,Wallet,41,Male
45,2023-02-06,East,Bangalore,Clothing,Kurta,3,4923.32,0,4923.32,14769.96,7333.5,Card,35,Female
46,2023-06-08,East,Hyderabad,Sports,Shoes,2,2451.7,10,2206.53,4413.06,1286.44,UPI,50,Other
47,2023-10-01,North,Delhi,Clothing,Kurta,4,3921.27,10,3529.14,14116.56,5023.36,Cash,41,Male
48,2024-05-16,East,Mumbai,Electronics,Laptop,1,1286.02,0,1286.02,1286.02,422.75,UPI,32,Male
49,2023-05-17,North,Kolkata,Clothing,Saree,4,3542.08,5,3364.98,13459.92,3597.28,Card,50,Other
50,2023-02-09,North,Kolkata,Beauty,Makeup Kit,2,2717.79,0,2717.79,5435.58,2146.04,UPI,50,Male
51,2024-08-10,West,Chennai,Beauty,Perfume,5,485.03,5,460.78,2303.9,476.35,Card,43,Male
52,2024-02-22,South,Kolkata,Clothing,Jacket,2,4022.87,5,3821.73,7643.46,3727.3,UPI,57,Male
53,2023-06-22,West,Mumbai,Grocery,Rice Bag,3,708.68,10,637.81,1913.43,938.58,Cash,23,Female
54,2023-04-09,East,Hyderabad,Clothing,T-Shirt,1,354.66,0,354.66,354.66,101.89,Wallet,25,Other
55,2024-12-29,South,Kolkata,Grocery,Rice Bag,2,3163.99,15,2689.39,5378.78,2141.64,Wallet,24,Male
56,2023-02-12,West,Hyderabad,Grocery,Snacks,3,4484.6,15,3811.91,11435.73,3668.1,Cash,39,Other
57,2024-09-29,East,Delhi,Grocery,Snacks,2,2456.43,0,2456.43,4912.86,2214.72,Wallet,31,Male
58,2023-05-21,East,Bangalore,Grocery,Spices,3,3651.65,15,3103.9,9311.7,3965.55,UPI,30,Other
59,2023-10-23,West,Chennai,Electronics,Speaker,1,4371.74,5,4153.15,4153.15,1666.64,Cash,53,Female
60,2024-04-03,South,Pune,Grocery,Cooking Oil,5,992.38,20,793.9,3969.5,1200.35,Card,35,Other
61,2023-08-17,West,Hyderabad,Electronics,Laptop,2,3300.99,20,2640.79,5281.58,1062.12,Card,58,Female
62,2023-04-22,North,Kolkata,Sports,Shoes,3,3286.6,5,3122.27,9366.81,3550.23,UPI,46,Male
63,2024-04-15,East,Delhi,Sports,Football,1,4218.22,0,4218.22,4218.22,1010.34,Wallet,48,Female
64,2024-04-13,South,Kolkata,Sports,Shoes,2,3739.26,15,3178.37,6356.74,1979.3,Cash,45,Other
65,2023-10-06,North,Chennai,Beauty,Makeup Kit,4,3861.85,15,3282.57,13130.28,6407.16,Wallet,49,Male
66,2024-12-17,East,Mumbai,Electronics,Headphones,1,2249.22,20,1799.38,1799.38,686.19,Cash,53,Other
67,2024-06-05,South,Hyderabad,Sports,Dumbbells,2,3028.85,15,2574.52,5149.04,1923.08,Cash,59,Other
68,2024-12-02,North,Delhi,Clothing,Kurta,3,3002.52,20,2402.02,7206.06,3147.63,UPI,35,Male
69,2024-06-17,East,Chennai,Home & Kitchen,Bedsheet,5,3692.25,10,3323.02,16615.1,4439.55,Card,53,Other
70,2023-04-16,East,Mumbai,Electronics,Speaker,2,1263.96,5,1200.76,2401.52,1070.38,Wallet,22,Male
71,2024-10-20,South,Delhi,Grocery,Milk Pack,5,2242.11,15,1905.79,9528.95,3606.65,Wallet,31,Male
72,2024-02-14,West,Pune,Clothing,Jacket,1,3346.84,0,3346.84,3346.84,1280.75,Card,45,Female
73,2024-12-27,East,Bangalore,Clothing,Saree,2,4304.13,20,3443.3,6886.6,2771.46,Card,57,Other
74,2024-02-01,West,Delhi,Beauty,Face Cream,4,741.28,20,593.02,2372.08,1017.36,Cash,48,Female
75,2024-10-09,South,Delhi,Beauty,Makeup Kit,3,4430.18,5,4208.67,12626.01,4613.13,UPI,29,Female
76,2023-11-30,South,Mumbai,Sports,Cricket Bat,1,2211.35,15,1879.65,1879.65,608.32,Card,29,Male
77,2023-01-28,East,Delhi,Home & Kitchen,Mixer,1,1337.39,15,1136.78,1136.78,439.02,Cash,54,Other
78,2024-05-14,South,Pune,Grocery,Snacks,5,2714.21,0,2714.21,13571.05,3348.65,Card,45,Other
79,2023-03-23,East,Mumbai,Electronics,Smartwatch,4,2745.54,15,2333.71,9334.84,3912.0,Card,19,Other
80,2023-10-23,West,Pune,Beauty,Body Lotion,1,2702.73,15,2297.32,2297.32,1113.03,Card,18,Other
81,2024-02-26,West,Delhi,Beauty,Perfume,3,2315.78,20,1852.62,5557.86,2631.27,UPI,50,Female
82,2023-08-31,West,Bangalore,Beauty,Perfume,1,2964.89,15,2520.16,2520.16,1147.93,Cash,41,Other
83,2024-03-30,North,Hyderabad,Beauty,Shampoo,3,124.21,5,118.0,354.0,142.68,Card,46,Male
84,2023-02-13,East,Pune,Sports,Yoga Mat,1,2942.55,10,2648.3,2648.3,935.77,UPI,55,Male
85,2024-02-20,West,Mumbai,Grocery,Rice Bag,4,716.13,20,572.9,2291.6,1047.12,Wallet,59,Other
86,2024-09-07,West,Mumbai,Clothing,Kurta,4,3399.82,5,3229.83,12919.32,5729.64,Card,25,Female
87,2023-11-02,South,Kolkata,Clothing,Kurta,5,2274.38,20,1819.5,9097.5,1919.55,Cash,51,Other
88,2023-01-23,North,Chennai,Electronics,Smartphone,1,4206.76,5,3996.42,3996.42,1549.46,Card,47,Male
89,2023-10-10,West,Bangalore,Electronics,Smartphone,2,1296.32,5,1231.5,2463.0,589.46,Cash,57,Other
90,2023-05-08,North,Delhi,Sports,Shoes,1,248.9,0,248.9,248.9,72.96,Cash,50,Other
91,2024-08-31,East,Pune,Home & Kitchen,Storage Box,1,1156.81,20,925.45,925.45,277.55,UPI,58,Female
92,2023-10-16,West,Bangalore,Sports,Shoes,2,1808.01,5,1717.61,3435.22,687.64,UPI,23,Female
93,2023-09-30,North,Pune,Home & Kitchen,Lamp,1,4345.55,0,4345.55,4345.55,1037.6,UPI,26,Male
94,2023-07-15,North,Kolkata,Sports,Shoes,5,2878.38,0,2878.38,14391.9,6724.85,Card,51,Female
95,2023-09-21,South,Pune,Home & Kitchen,Cookware Set,5,3849.44,15,3272.02,16360.1,4903.5,Cash,23,Female
96,2023-01-15,North,Chennai,Clothing,Jeans,2,3835.2,0,3835.2,7670.4,3105.3,Card,28,Other
97,2024-06-05,West,Kolkata,Electronics,Laptop,1,689.02,0,689.02,689.02,276.63,Wallet,18,Other
98,2024-03-24,East,Hyderabad,Sports,Cricket Bat,4,3088.18,20,2470.54,9882.16,3813.28,Wallet,46,Female
99,2023-01-02,East,Hyderabad,Sports,Cricket Bat,1,3022.78,0,3022.78,3022.78,1108.38,Wallet,55,Other
100,2024-10-22,South,Hyderabad,Sports,Yoga Mat,2,2976.6,5,2827.77,5655.54,1539.42,UPI,26,Male
101,2024-08-29,East,Chennai,Grocery,Milk Pack,3,2757.58,5,2619.7,7859.1,2799.78,Wallet,46,Female
102,2023-12-29,East,Delhi,Beauty,Shampoo,2,633.7,20,506.96,1013.92,385.64,UPI,54,Female
103,2024-04-29,West,Bangalore,Sports,Shoes,4,2435.81,10,2192.23,8768.92,2372.28,Wallet,23,Female
104,2024-02-15,North,Chennai,Grocery,Milk Pack,2,3605.91,10,3245.32,6490.64,3209.82,UPI,40,Other
105,2023-02-23,North,Delhi,Sports,Dumbbells,3,137.06,20,109.65,328.95,75.84,Cash,42,Male
106,2024-03-25,West,Bangalore,Home & Kitchen,Bedsheet,4,4642.47,15,3946.1,15784.4,3467.36,UPI,39,Other
107,2024-01-21,East,Hyderabad,Beauty,Shampoo,3,596.96,20,477.57,1432.71,451.02,Wallet,44,Female
108,2023-08-17,South,Pune,Grocery,Rice Bag,5,4034.83,10,3631.35,18156.75,5914.0,Cash,59,Male
109,2023-11-20,North,Bangalore,Clothing,Jeans,4,3616.42,5,3435.6,13742.4,5747.24,UPI,21,Other
110,2024-10-23,West,Kolkata,Beauty,Face Cream,2,697.24,10,627.52,1255.04,581.12,Cash,27,Female
111,2024-10-18,West,Pune,Clothing,Saree,5,1004.47,0,1004.47,5022.35,1656.4,Card,59,Female
112,2023-05-26,East,Pune,Grocery,Cooking Oil,4,2180.18,0,2180.18,8720.72,3383.16,Wallet,59,Male
113,2024-01-31,South,Mumbai,Clothing,Saree,3,112.66,20,90.13,270.39,63.48,Wallet,26,Male
114,2023-07-13,West,Bangalore,Sports,Dumbbells,2,1139.02,5,1082.07,2164.14,968.6,Cash,59,Other
115,2023-08-16,West,Hyderabad,Clothing,Kurta,1,1260.67,20,1008.54,1008.54,412.88,Cash,41,Female
116,2024-04-11,West,Kolkata,Home & Kitchen,Mixer,3,4270.75,5,4057.21,12171.63,3129.84,Cash,36,Female
117,2023-05-29,North,Chennai,Beauty,Makeup Kit,4,833.55,5,791.87,3167.48,1438.36,Wallet,52,Male
118,2023-06-22,West,Delhi,Beauty,Face Cream,4,4327.71,20,3462.17,13848.68,6526.68,Cash,54,Other
119,2024-01-31,South,Bangalore,Electronics,Speaker,3,3074.76,10,2767.28,8301.84,3573.24,Card,31,Female
120,2023-05-31,East,Delhi,Clothing,Jeans,5,3012.93,0,3012.93,15064.65,3068.15,Cash,52,Female
121,2024-04-28,North,Bangalore,Electronics,Smartphone,5,3411.62,5,3241.04,16205.2,6020.9,Card,56,Female
122,2023-01-05,East,Hyderabad,Sports,Cricket Bat,1,3492.94,15,2969.0,2969.0,755.28,Wallet,21,Male
123,2023-04-23,East,Delhi,Home & Kitchen,Mixer,2,1752.41,20,1401.93,2803.86,1335.12,Cash,57,Female
124,2024-08-26,West,Chennai,Beauty,Body Lotion,5,4481.54,10,4033.39,20166.95,7656.25,Cash,50,Other
125,2023-06-08,South,Delhi,Beauty,Shampoo,3,1783.45,15,1515.93,4547.79,1670.31,Wallet,19,Other
126,2024-10-16,East,Mumbai,Grocery,Spices,4,4021.75,10,3619.58,14478.32,4458.6,Cash,25,Male
127,2023-03-19,South,Delhi,Sports,Cricket Bat,2,3432.65,15,2917.75,5835.5,2349.96,Card,20,Male
128,2023-01-01,South,Bangalore,Home & Kitchen,Mixer,2,4971.28,5,4722.72,9445.44,3694.26,UPI,52,Other
129,2024-01-21,West,Kolkata,Sports,Dumbbells,2,2287.13,15,1944.06,3888.12,1873.9,Wallet,53,Male
130,2024-03-16,South,Pune,Clothing,T-Shirt,5,958.98,0,958.98,4794.9,2152.2,Wallet,59,Male
131,2024-09-08,South,Pune,Home & Kitchen,Storage Box,1,4126.85,15,3507.82,3507.82,1388.14,Wallet,29,Female
132,2024-05-07,South,Kolkata,Electronics,Smartphone,4,2426.94,20,1941.55,7766.2,3603.92,Cash,57,Other
133,2024-04-20,South,Pune,Clothing,Jeans,5,3712.18,15,3155.35,15776.75,6735.15,Wallet,47,Other
134,2023-12-08,West,Bangalore,Sports,Yoga Mat,5,555.35,5,527.58,2637.9,695.45,UPI,49,Male
135,2024-09-04,East,Chennai,Sports,Football,1,3081.58,15,2619.34,2619.34,695.15,UPI,51,Male
136,2024-05-11,West,Kolkata,Clothing,Saree,5,277.19,0,277.19,1385.95,598.45,Cash,19,Male
137,2024-11-19,North,Hyderabad,Electronics,Headphones,1,529.45,10,476.51,476.51,204.08,Cash,18,Male
138,2024-10-08,North,Mumbai,Grocery,Cooking Oil,3,4143.9,5,3936.7,11810.1,3777.12,UPI,23,Other
139,2023-12-29,South,Mumbai,Clothing,Kurta,3,3952.75,15,3359.84,10079.52,2465.16,Cash,59,Other
140,2023-05-17,South,Pune,Beauty,Body Lotion,4,4659.92,5,4426.92,17707.68,5986.6,UPI,52,Other
141,2023-05-08,South,Delhi,Clothing,Kurta,2,4353.48,10,3918.13,7836.26,2060.86,Wallet,31,Male
142,2023-05-06,West,Chennai,Beauty,Perfume,1,1680.39,10,1512.35,1512.35,677.45,UPI,19,Female
143,2024-01-26,East,Bangalore,Clothing,T-Shirt,3,1795.89,15,1526.51,4579.53,1502.49,Cash,27,Other
144,2024-11-30,North,Chennai,Sports,Cricket Bat,1,2918.3,20,2334.64,2334.64,563.57,Card,53,Female
145,2023-05-25,West,Bangalore,Grocery,Milk Pack,1,3070.64,20,2456.51,2456.51,994.25,UPI,52,Female
146,2024-11-27,West,Hyderabad,Grocery,Cooking Oil,1,4143.48,20,3314.78,3314.78,1291.9,Wallet,25,Female
147,2023-11-10,North,Pune,Home & Kitchen,Cookware Set,5,226.48,0,226.48,1132.4,487.2,UPI,29,Male
148,2023-06-14,West,Hyderabad,Sports,Football,4,1627.9,15,1383.72,5534.88,2037.64,Card,23,Other
149,2024-05-25,South,Pune,Electronics,Smartphone,5,186.67,5,177.34,886.7,270.4,Card,36,Male
150,2023-12-31,North,Mumbai,Sports,Shoes,3,2865.76,5,2722.47,8167.41,2957.1,Wallet,19,Male
151,2023-09-02,West,Pune,Electronics,Smartphone,3,3795.84,0,3795.84,11387.52,4223.61,Cash,26,Other
152,2023-07-14,South,Kolkata,Grocery,Milk Pack,3,465.69,15,395.84,1187.52,485.73,Wallet,24,Other
153,2024-06-25,East,Hyderabad,Electronics,Laptop,4,3128.45,15,2659.18,10636.72,2137.88,Cash,34,Female
154,2023-11-12,West,Bangalore,Sports,Shoes,5,3114.58,15,2647.39,13236.95,5928.5,UPI,53,Other
155,2024-02-12,East,Bangalore,Electronics,Smartphone,4,4255.28,5,4042.52,16170.08,7450.96,Card,52,Male
